 Date & UTC Time,Sea Level,Water Temperature,Air Temperature,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed
01/01/20 00:00,0.725,30.2,30,1010.7,-0.088,-0.112,32,4.8,3.8
01/01/20 01:00,0.74,30.3,30.4,1010,-0.091,-0.117,29,4.9,3.8
01/01/20 02:00,0.783,30.4,29.7,1009,-0.087,-0.119,7,5.7,3.9
01/01/20 03:00,0.853,30.5,29.7,1008.1,-0.067,-0.109,333,4,2.9
01/01/20 04:00,0.923,30.7,30,1007.2,-0.042,-0.094,322,3.7,2.4
01/01/20 05:00,0.957,30.7,30.2,1007.2,-0.042,-0.102,337,4,2.8
01/01/20 06:00,0.966,30.7,30,1007.6,-0.053,-0.113,325,3.4,2.2
01/01/20 07:00,0.937,30.9,30.2,1008.3,-0.086,-0.142,338,3.4,2.3
01/01/20 08:00,0.913,30.9,30.2,1009,-0.085,-0.133,322,3,0.1
01/01/20 09:00,0.869,30.9,29.3,1010,-0.068,-0.109,205,2.6,0.5
01/01/20 10:00,0.797,30.6,28.6,1010.7,-0.051,-0.083,181,3.8,2.1
01/01/20 11:00,0.687,30.7,28.5,1011.3,-0.055,-0.08,192,3.9,2.5
01/01/20 12:00,0.572,30.3,27.8,1011.3,-0.062,-0.081,192,5,3.1
01/01/20 13:00,0.475,30.4,27.4,1010.8,-0.067,-0.087,191,5,3.3
01/01/20 14:00,0.402,30.4,26.8,1010.2,-0.085,-0.11,192,5.4,3.7
01/01/20 15:00,0.382,30.3,26.6,1009.7,-0.084,-0.115,192,5.8,3.9
01/01/20 16:00,0.42,30.2,26.4,1009.2,-0.053,-0.089,197,6,3.8
01/01/20 17:00,0.461,30.1,26,1009.2,-0.044,-0.084,195,5.4,3.3
01/01/20 18:00,0.48,30.1,25.6,1009.3,-0.079,-0.119,193,5.4,3.9
01/01/20 19:00,0.531,30,25.6,1009.5,-0.099,-0.138,190,5.7,4
01/01/20 20:00,0.603,29.9,26,1009.8,-0.1,-0.137,192,5.9,3.8
01/01/20 21:00,0.662,29.9,28.2,1010.4,-0.1,-0.134,186,5.5,2.1
01/01/20 22:00,0.729,29.8,29.1,1010.5,-0.075,-0.104,26,3.4,2.4
01/01/20 23:00,0.767,30,29.8,1010.7,-0.062,-0.089,38,5,4.1
02/01/20 00:00,0.764,30.1,29.6,1010.4,-0.076,-0.102,32,5.5,3.3
02/01/20 01:00,0.773,30.1,29.7,1009.9,-0.075,-0.103,24,4.7,2.9
02/01/20 02:00,0.783,30.2,29.5,1008.9,-0.085,-0.12,4,4,2.6
02/01/20 03:00,0.81,30.3,29.8,1008.2,-0.092,-0.135,347,3.5,2.6
02/01/20 04:00,0.869,30.4,29.9,1007.3,-0.069,-0.12,0,4,2.3
02/01/20 05:00,0.904,30.7,30.1,1007.3,-0.059,-0.118,351,3.8,2.7
02/01/20 06:00,0.92,30.6,30,1007.4,-0.053,-0.113,343,3.7,2.9
02/01/20 07:00,0.911,30.7,29.8,1008.1,-0.057,-0.114,316,3.5,1.6
02/01/20 08:00,0.869,30.7,29.9,1008.7,-0.075,-0.126,343,2.8,1.7
02/01/20 09:00,0.814,30.5,29.9,1009.3,-0.083,-0.128,347,4,2.4
02/01/20 10:00,0.764,30.5,28.6,1009.8,-0.063,-0.102,195,5,3.6
02/01/20 11:00,0.691,30.5,28.4,1010.1,-0.053,-0.087,197,5.8,3.5
02/01/20 12:00,0.596,30.4,27.7,1010,-0.061,-0.093,194,5.1,3.4
02/01/20 13:00,0.511,30.3,27.1,1009.7,-0.068,-0.101,155,4.8,1.9
02/01/20 14:00,0.451,30.3,26.6,1008.8,-0.076,-0.112,191,5.4,3.6
02/01/20 15:00,0.438,30.3,26.4,1007.7,-0.068,-0.113,194,5.4,3
02/01/20 16:00,0.449,30.3,26,1006.9,-0.063,-0.119,191,5.2,3.6
02/01/20 17:00,0.484,30.2,25.6,1006.8,-0.054,-0.118,190,5.7,3.7
02/01/20 18:00,0.543,30.2,25.5,1007.2,-0.041,-0.105,198,5.6,4.1
02/01/20 19:00,0.584,30.2,25.2,1007.8,-0.061,-0.12,196,5.7,4
02/01/20 20:00,0.641,30.2,25.8,1008.5,-0.073,-0.126,188,5.6,4
02/01/20 21:00,0.697,30.1,28,1008.7,-0.081,-0.128,190,5.4,3.1
02/01/20 22:00,0.748,30.1,29.5,1008.7,-0.08,-0.125,28,3.4,2
02/01/20 23:00,0.801,30.3,29.9,1008.5,-0.059,-0.105,29,3.9,3.2
03/01/20 00:00,0.812,30.4,29.4,1008.1,-0.064,-0.111,19,4.3,3.7
03/01/20 01:00,0.804,30.4,29.6,1007.4,-0.079,-0.13,19,4.5,3.2
03/01/20 02:00,0.815,30.5,30.3,1006.5,-0.075,-0.134,31,4.6,3.2
03/01/20 03:00,0.816,30.8,29.9,1005.4,-0.088,-0.157,4,3.6,2.1
03/01/20 04:00,0.838,30.5,30,1004.7,-0.085,-0.164,1,3.8,2.3
03/01/20 05:00,0.86,31.1,30.1,1004.3,-0.076,-0.161,356,3.4,2.4
03/01/20 06:00,0.872,31.1,30.3,1004.6,-0.061,-0.15,12,3.2,2.3
03/01/20 07:00,0.854,31.2,30.2,1005.4,-0.062,-0.147,16,3,1.8
03/01/20 08:00,0.819,31.1,30.7,1006.2,-0.064,-0.141,70,3,1.9
03/01/20 09:00,0.768,31.1,30.7,1006.9,-0.069,-0.139,119,4.2,2.2
03/01/20 10:00,0.71,31.1,29.7,1007.5,-0.07,-0.133,162,3.3,1
03/01/20 11:00,0.652,31,28.5,1008.2,-0.065,-0.121,192,3.2,2.4
03/01/20 12:00,0.585,31,27.8,1008.3,-0.069,-0.119,198,3.8,2.5
03/01/20 13:00,0.53,30.9,28.1,1007.9,-0.068,-0.118,236,4.2,2
03/01/20 14:00,0.488,30.9,27.6,1007.5,-0.07,-0.123,281,4.2,2.5
03/01/20 15:00,0.451,30.7,27.1,1006.8,-0.089,-0.147,268,3.4,1.7
03/01/20 16:00,0.445,30.7,26.6,1006.6,-0.103,-0.167,183,3.5,1.4
03/01/20 17:00,0.479,30.7,26.2,1006.6,-0.095,-0.161,186,3.7,2.3
03/01/20 18:00,0.54,30.6,26,1006.7,-0.074,-0.14,195,4.5,3.5
03/01/20 19:00,0.607,30.6,26,1007,-0.059,-0.124,193,5.6,3.6
03/01/20 20:00,0.669,30.5,26.3,1007.4,-0.057,-0.119,188,5.4,3.9
03/01/20 21:00,0.722,30.4,28.9,1008,-0.067,-0.124,191,4.3,2.1
03/01/20 22:00,0.764,30.4,31.6,1008.1,-0.082,-0.134,94,5.2,3
03/01/20 23:00,0.807,30.4,30.6,1008.1,-0.081,-0.132,44,5.7,4
04/01/20 00:00,0.825,30.7,30.2,1007.5,-0.089,-0.141,35,5.4,4.4
04/01/20 01:00,0.838,30.8,31.1,1007.2,-0.087,-0.144,40,5.9,4.6
04/01/20 02:00,0.84,30.9,31.8,1006.2,-0.087,-0.149,43,5.8,3.8
04/01/20 03:00,0.833,31,30.9,1005.5,-0.096,-0.166,33,5.2,4.5
04/01/20 04:00,0.828,31.3,31.4,1004.9,-0.1,-0.177,42,4.9,3.3
04/01/20 05:00,0.836,31.4,32.4,1004.5,-0.087,-0.17,47,5.2,3.7
04/01/20 06:00,0.827,31.4,31.9,1005.2,-0.076,-0.163,59,5.5,3.5
04/01/20 07:00,0.81,31.3,31.1,1006.2,-0.06,-0.139,67,5.5,3.7
04/01/20 08:00,0.784,31.3,31,1007.1,-0.039,-0.108,68,5.2,3.3
04/01/20 09:00,0.739,31.2,30.4,1008,-0.03,-0.09,114,5,2.3
04/01/20 10:00,0.673,31.1,29.7,1008.2,-0.042,-0.094,186,3.1,1.2
04/01/20 11:00,0.616,31.1,28.6,1008.6,-0.049,-0.099,194,3.4,2
04/01/20 12:00,0.584,31.1,28.3,1008.6,-0.039,-0.085,192,4.7,1.8
04/01/20 13:00,0.555,31.1,28.3,1007.9,-0.036,-0.083,203,3.2,1.3
04/01/20 14:00,0.538,31.1,27.8,1007.3,-0.033,-0.087,209,3.1,1.6
04/01/20 15:00,0.536,31,27.3,1006.5,-0.031,-0.091,194,4.6,3
